L,R,F,M,C
1.2534871761381514,-2.537114467344698,3.8203173943041198,3.9632640745147754,1.2948504571330377
1.1873925066266526,-1.5914706875567382,3.336908452362167,3.2946490455730313,2.8627642392881953
1.198496198545341,-1.3148876124486524,3.2936101190359763,3.260791424281279,2.8754999700701025
0.8048419238077433,0.1176432523561887,1.2134183165802368,3.252543867671477,1.9919246457645075
0.6123800987665239,-1.7877095023426324,3.4348594884397903,3.3474651687630272,1.3434984765249836
0.9503894878577825,-0.020790367640187248,2.8378349367979254,3.297673157142469,1.327502935132231
1.3818902018214383,-2.537114467344698,2.948612122540593,3.2722350030713794,1.3148488053387166
0.2528615343131145,-2.064292577450718,2.5637688142872,3.2728771019315324,1.2971762525173505
-0.30202902295427725,-1.6825574973882347,2.2507522747348165,3.383381294351549,0.5765761720538318
0.15356677744660396,-1.1186487976627582,2.40825481631701,3.534564543423477,-0.07323310373233077
-0.01508705142027309,-0.8710972441232924,1.9403167154053074,3.1827623426519676,1.440591942257642
1.6322974227503733,-1.6825574973882347,3.378697822102389,3.2174195512764334,1.2457422131290745
1.2409628240156665,-0.13165067197931535,1.4810195524798788,3.3835033052708074,0.41825443386343764
1.2582328183103504,-2.064292577450718,3.1334747914082173,2.811923807798914,3.650656638478829
0.3253581331886345,-2.260531392236612,2.1173667601460138,3.212453656692589,1.0809542331049522
0.916318174612412,-0.15201450645955553,1.1623793985796662,3.0748899059504207,1.6424720863147224
0.141750572015874,-1.5914706875567382,2.948612122540593,2.7713070578397594,3.586700396648578
-0.004661223500350455,-0.3982753542293124,1.8556297587292867,3.262338776947082,0.6270967528897392
1.3736417054133274,-2.260531392236612,2.40825481631701,2.7548101466824546,3.6679958883735866
-0.43727708822606765,-0.8142194971935358,1.7956555839219857,3.4175748261639662,-0.07174835735066629
0.8228018586887657,-1.9120779272161068,3.006002669284836,2.7417232775923877,3.4943502580680446
-0.30202902295427725,-1.6825574973882347,1.2134183165802368,2.9869531568666607,1.8342103408438644
1.561280397287608,-0.8420657225546723,2.863351507129841,3.332549951999025,0.1090512490838831
0.24842823495393762,-0.06481453219147029,1.0532829889524777,3.021922948994472,1.5282256159892096
0.31154482182511406,-1.0383045373405668,1.9672669183790754,3.254288715917151,0.3545047944298942
0.030035140083356483,-1.0383045373405668,2.370775717246254,3.111600721683067,0.9784954646272608
1.198496198545341,-2.064292577450718,3.8372480316794157,2.8567875115623043,2.2912130407525924
1.6024496858938213,-1.3148876124486524,2.5798661507741,2.6271395526176264,3.8393545333894403
1.4219748623886055,-1.001423242199647,2.948612122540593,2.693713697671597,3.325871478500402
0.8566109616135743,-1.3148876124486524,2.7715620777998873,2.6308853623329345,3.792696940539112
1.370882778121305,-2.260531392236612,2.1859130483786307,2.596258678082443,4.032783991057963
